Identifier;CQ
req96;What is the username of the player?
req97;Who are the friends of the player?
req103;What achievements does a game have?
req106;What are the types of achievements a game can have?
req107;What is the genre of the game?
req108;What items exist in a game?
req109;Who is the creator of the game?
req110;What is the release date of the game?
req114;What features does an item have?
req119;What games has the player played?
req121;What achievements of a certain type does the player own?
req122;What items does the player own?
